2024-12-12 09:56:44 [http-nio-8080-exec-7] INFO  o.f.s.controller.LoginController - User '123842543' logged in
2024-12-12 09:57:47 [http-nio-8080-exec-1] INFO  o.f.s.controller.LoginController - User '123842543' logged in
2024-12-12 09:58:12 [http-nio-8080-exec-10] INFO  o.f.s.controller.LoginController - User '123842543' logged in
2024-12-16 10:41:21 [main] INFO  o.f.s.controller.LoginControllerTest - Starting LoginControllerTest using Java 23 with PID 8080 (started by Admin in C:\Users\Admin\IdeaProjects\system2024)
2024-12-16 10:41:21 [main] INFO  o.f.s.controller.LoginControllerTest - The following 1 profile is active: "development"
2024-12-16 10:41:23 [main] INFO  o.f.s.controller.LoginControllerTest - Started LoginControllerTest in 2.471 seconds (process running for 4.865)
2024-12-16 10:41:23 [main] INFO  o.f.s.controller.LoginController - User 'null' logged in
2024-12-16 10:46:04 [main] INFO  o.f.s.controller.LoginControllerTest - Starting LoginControllerTest using Java 23 with PID 8904 (started by Admin in C:\Users\Admin\IdeaProjects\system2024)
2024-12-16 10:46:04 [main] INFO  o.f.s.controller.LoginControllerTest - The following 1 profile is active: "development"
2024-12-16 10:46:06 [main] INFO  o.f.s.controller.LoginControllerTest - Started LoginControllerTest in 2.554 seconds (process running for 5.037)
2024-12-16 10:46:06 [main] INFO  o.f.s.controller.LoginController - User 'null' logged in
